2026-01-19 19:07:24 | INFO     | Logger initialized
2026-01-19 19:07:24 | INIT     | ================================================================================
2026-01-19 19:07:24 | INIT     | [RUN CONFIGURATION] instance=XL-n10001-k1570.vrp run=0
2026-01-19 19:07:24 | INIT     | seed = 680283097
2026-01-19 19:07:24 | INIT     | scp_solvers = ['gurobi_mip']
2026-01-19 19:07:24 | INIT     | scp_switch_prob = 0.0
2026-01-19 19:07:24 | INIT     | time_limit_scp = 900.0
2026-01-19 19:07:24 | INIT     | scp_every = 3
2026-01-19 19:07:24 | INIT     | time_limit_total = 35000.0
2026-01-19 19:07:24 | INIT     | max_no_improvement_iters = 50
2026-01-19 19:07:24 | INIT     | min_avg_cluster_size = 100
2026-01-19 19:07:24 | INIT     | max_avg_cluster_size = 2500
2026-01-19 19:07:24 | INIT     | routing_solvers = ['pyvrp', 'filo1', 'filo2']
2026-01-19 19:07:24 | INIT     | routing_no_improvement = None
2026-01-19 19:07:24 | INIT     | ls_neighbourhood = dri_spatial
2026-01-19 19:07:24 | INIT     | ls_after_routing_max_neighbours = 300
2026-01-19 19:07:24 | INIT     | ls_max_neighbours_restricted = 200
2026-01-19 19:07:24 | INIT     | randomize_polar_angle = True
2026-01-19 19:07:24 | INIT     | warm_start_solutions = None
2026-01-19 19:07:24 | INIT     | log_mode = instance
2026-01-19 19:07:24 | INIT     | log_to_console = False
2026-01-19 19:07:24 | INIT     | periodic_sol_dump = True
2026-01-19 19:07:24 | INIT     | sol_dump_interval = 3600.0
2026-01-19 19:07:24 | INIT     | ================================================================================
2026-01-19 19:07:28 | INFO     | [XL-n10001-k1570 ITERATION 1] mode=VB method=sk_kmeans k=1 solver=filo2
2026-01-19 19:10:26 | INFO     | [XL-n10001-k1570 CLUSTER] method=sk_kmeans k=1 | sizes=[10000] | min=10000 max=10000 avg=10000.0
2026-01-19 19:10:26 | INFO     | [XL-n10001-k1570 ROUTING] Solving clusters with filo2
2026-01-19 19:22:08 | INFO     | [XL-n10001-k1570 IMPROVED-VB/RB] best_cost=2357295 | Gap: 1.1067%
2026-01-19 19:22:08 | INFO     | [XL-n10001-k1570 ITERATION 2] mode=VB method=sk_ac_min k=5 solver=filo2
2026-01-19 19:24:18 | INFO     | [XL-n10001-k1570 CLUSTER] method=sk_ac_min k=5 | sizes=[7336, 2659, 1, 1, 3] | min=1 max=7336 avg=2000.0
2026-01-19 19:24:18 | INFO     | [XL-n10001-k1570 ROUTING] Solving clusters with filo2
2026-01-19 19:43:41 | INFO     | [XL-n10001-k1570 IMPROVED-VB/RB] best_cost=2356182 | Gap: 1.0590%
2026-01-19 19:43:41 | INFO     | [XL-n10001-k1570 ITERATION 3] mode=VB method=sk_ac_min k=10 solver=filo1
2026-01-19 19:46:49 | INFO     | [XL-n10001-k1570 CLUSTER] method=sk_ac_min k=10 | sizes=[9988, 3, 1, 1, 2, 1, 1, 1, 1, 1] | min=1 max=9988 avg=1000.0
2026-01-19 19:46:49 | INFO     | [XL-n10001-k1570 ROUTING] Solving clusters with filo1
2026-01-19 20:06:16 | INFO     | [XL-n10001-k1570 SCP] solver=gurobi_mip | route_pool=4591
2026-01-19 20:06:18 | INFO     | [XL-n10001-k1570 SCP] optimal solution found
2026-01-19 20:10:04 | INFO     | [XL-n10001-k1570 SCP-NO-IMPROVEMENT] cost=2356185 (best=2356182) | Gap: 1.0590%
2026-01-19 20:10:04 | INFO     | 
2026-01-19 20:10:04 | INFO     | ================================================================================
2026-01-19 20:10:04 | INFO     | [XL-n10001-k1570] PERIODIC SNAPSHOT SNAPSHOT_001
2026-01-19 20:10:04 | INFO     | ================================================================================
2026-01-19 20:10:04 | INFO     | Route #1: 4552 9282 4386 7478 7152 || mode=vb method=sk_ac_min solver=filo2 stage=post_ls iter=2
2026-01-19 20:10:04 | INFO     | Route #2: 7601 7414 9637 8258 323 1765 || mode=vb method=sk_ac_min solver=filo2 stage=post_ls iter=2
2026-01-19 20:10:04 | INFO     | Route #3: 9569 8883 3941 7877 4068 1306 || mode=vb method=sk_ac_min solver=filo2 stage=post_ls iter=2
2026-01-19 20:10:04 | INFO     | Route #4: 5912 9812 6500 375 100 3701 || mode=vb method=sk_ac_min solver=filo2 stage=post_ls iter=2
2026-01-19 20:10:04 | INFO     | Route #5: 8553 107 1039 2914 6579 2560 || mode=vb method=sk_ac_min solver=filo2 stage=post_ls iter=2
2026-01-19 20:10:04 | INFO     | Route #6: 220 181 8825 6071 8495 2921 || mode=vb method=sk_ac_min solver=filo2 stage=post_ls iter=2
