2026-03-16 15:51:38 | INFO     | Logger initialized
2026-03-16 15:51:38 | INIT     | ================================================================================
2026-03-16 15:51:38 | INIT     | [RUN CONFIGURATION] instance=XL-n6305-k1042.vrp run=0
2026-03-16 15:51:38 | INIT     | seed = 1732511554
2026-03-16 15:51:38 | INIT     | scp_solvers = ['gurobi_mip']
2026-03-16 15:51:38 | INIT     | scp_switch_prob = 0.0
2026-03-16 15:51:38 | INIT     | time_limit_scp = 10000.0
2026-03-16 15:51:38 | INIT     | scp_every = 3
2026-03-16 15:51:38 | INIT     | time_limit_total = 36000.0
2026-03-16 15:51:38 | INIT     | max_no_improvement_iters = 50
2026-03-16 15:51:38 | INIT     | min_avg_cluster_size = 100
2026-03-16 15:51:38 | INIT     | max_avg_cluster_size = 2500
2026-03-16 15:51:38 | INIT     | routing_solvers = ['pyvrp', 'filo1', 'filo2', 'ails2']
2026-03-16 15:51:38 | INIT     | routing_no_improvement = None
2026-03-16 15:51:38 | INIT     | ls_neighbourhood = dri_spatial
2026-03-16 15:51:38 | INIT     | ls_after_routing_max_neighbours = 300
2026-03-16 15:51:38 | INIT     | ls_max_neighbours_restricted = 200
2026-03-16 15:51:38 | INIT     | randomize_polar_angle = True
2026-03-16 15:51:38 | INIT     | warm_start_solutions = None
2026-03-16 15:51:38 | INIT     | log_mode = instance
2026-03-16 15:51:38 | INIT     | log_to_console = False
2026-03-16 15:51:38 | INIT     | periodic_sol_dump = True
2026-03-16 15:51:38 | INIT     | sol_dump_interval = 3600.0
2026-03-16 15:51:38 | INIT     | ================================================================================
2026-03-16 15:51:42 | INFO     | [XL-n6305-k1042 ITERATION 1] mode=VB method=sk_kmeans k=1 solver=filo2 ls=pyvrp
2026-03-16 15:53:32 | INFO     | [XL-n6305-k1042 CLUSTER] method=sk_kmeans k=1 | sizes=[6304] | min=6304 max=6304 avg=6304.0
2026-03-16 15:53:32 | INFO     | [XL-n6305-k1042 ROUTING] Solving clusters with filo2
2026-03-16 16:01:19 | INFO     | [XL-n6305-k1042 IMPROVED-VB/RB] best_cost=1191492 | Gap: 1.3172%
2026-03-16 16:01:19 | INFO     | [XL-n6305-k1042 ITERATION-TIMES 1] cluster=110.062s routing=322.000s ls=145.344s total=577.435s
2026-03-16 16:01:19 | INFO     | [XL-n6305-k1042 ITERATION 2] mode=RB method=sk_ac_min k=10 solver=filo1 ls=pyvrp
2026-03-16 16:01:19 | INFO     | [XL-n6305-k1042 CLUSTER] method=sk_ac_min k=10 | sizes=[6175, 22, 22, 19, 18, 11, 15, 3, 12, 7] | min=3 max=6175 avg=630.4
2026-03-16 16:01:19 | INFO     | [XL-n6305-k1042 ROUTING] Solving clusters with filo1
2026-03-16 16:13:41 | INFO     | [XL-n6305-k1042 IMPROVED-VB/RB] best_cost=1190319 | Gap: 1.2174%
2026-03-16 16:13:41 | INFO     | [XL-n6305-k1042 ITERATION-TIMES 2] cluster=0.103s routing=610.277s ls=131.175s total=741.576s
2026-03-16 16:13:41 | INFO     | [XL-n6305-k1042 ITERATION 3] mode=VB method=k_medoids_pyclustering k=6 solver=filo2 ls=pyvrp
2026-03-16 16:20:49 | INFO     | [XL-n6305-k1042 CLUSTER] method=k_medoids_pyclustering k=6 | sizes=[841, 734, 1877, 695, 1404, 753] | min=695 max=1877 avg=1050.7
2026-03-16 16:20:49 | INFO     | [XL-n6305-k1042 ROUTING] Solving clusters with filo2
2026-03-16 16:38:57 | INFO     | [XL-n6305-k1042 IMPROVED-VB/RB] best_cost=1187680 | Gap: 0.9930%
2026-03-16 16:38:57 | INFO     | [XL-n6305-k1042 SCP] pruning_mode=diversity
