iteration,best_cost,gap_percent,source
1,386739.000000,1.744772,routing
3,386650.000000,1.721357,routing
3,386164.000000,1.593499,scp
5,386132.000000,1.585080,routing
6,385698.000000,1.470902,routing
6,385017.000000,1.291742,scp
9,384242.000000,1.087852,scp
12,384084.000000,1.046284,scp
15,383849.000000,0.984460,scp
18,383847.000000,0.983933,routing
18,383092.000000,0.785305,scp
21,382857.000000,0.723480,scp
24,382801.000000,0.708748,scp
27,382629.000000,0.663497,scp
30,382204.000000,0.551687,scp
33,382116.000000,0.528535,scp
