instance,best_cost,gap_to_bks_percent,gap_to_initial_percent,gap_to_paper_filo_best_percent,gap_to_paper_filo2_best_percent,gap_to_paper_hgs_cvrp_best_percent,gap_to_paper_filo_mean_percent,gap_to_paper_filo2_mean_percent,gap_to_paper_hgs_cvrp_mean_percent
XL-n10001-k1570,2352499.0,0.9367708629207274,0.8030827545455675,0.49875599361592327,0.55670609859049569,-0.33532253240321402,0.4783454658406581,0.5256865351800138,-0.3675327869307259
XL-n1048-k237,382116.0,0.528535386088654,0.5010375817638101,0.10426545250682441,0.21295344397121457,0.29528256572989914,-0.1303138981105208,-0.06080839862063013,0.17596255080683015
XL-n1094-k157,112499.0,0.06048153978884827,0.06048153978884827,0.055141990625861594,0.059591575352212892,0.032900001778378478,0.02747445720163689,0.029253259426613155,-0.014042597062788993
XL-n1141-k112,96198.0,0.5855413120307827,0.49202419380112195,0.45319744371580134,0.45005064374993475,0.3494570376474761,0.3090667934632938,0.3300949609674442,0.17557123131041727
XL-n1188-k96,104916.0,0.492327733185188,0.4798161183737969,0.34431309537472743,0.33759551657852205,0.26376146788990823,0.20075296688435318,0.21530108720362112,0.09912977604684399
XL-n1234-k55,97036.0,0.448226245561732,0.4024956801556179,0.33190301401023625,0.27902362400016534,-0.042234514869639563,0.14830899875428397,0.17591384351100306,-0.3595992039939921
XL-n1281-k29,31304.0,0.7109995817649519,0.6527121314427189,0.63329797151766487,0.65271213144271889,0.42990054539621431,0.37483446681480953,0.41669206167941164,0.20711091477722204
XL-n1328-k19,38396.0,0.510457841417764,0.38957303840824115,0.38957303840824115,0.38694833716795651,0.35283970622827421,0.21140545478272219,0.18238224082283733,0.03934248545500117
XL-n1374-k278,233896.0,0.41040611316218767,0.36344288111083933,0.1387152569657322,0.21508693453987676,0.1082848619475011,0.025274026468878875,0.042643959720496706,-0.017055954216515797
XL-n1421-k232,386970.0,0.6041919063242566,0.557134912921684,0.31444665942549327,0.30508588802803577,0.26584167651265467,0.2363637541039871,0.2515810278215758,0.04229506026786959
XL-n1468-k151,251231.0,0.4811461116354968,0.42571732369706516,0.29702140230830343,0.32065104541025763,0.10040680694400726,0.21776324161268226,0.21596428411868468,-0.07370246081896376
XL-n1514-k106,92642.0,0.2640749799779216,0.23478496077901,0.18383943247685786,0.19142378197155679,0.039954646077425625,0.096918174912992,0.0990812563546494,-0.1181650774757587
XL-n1561-k75,101621.0,0.07977151861335434,0.07090173216870674,0.053166875067689308,0.053166875067689308,-0.032463060971530878,0.02224444479441194,0.01988173321469623,-0.1326703093675066
XL-n1608-k39,48203.0,0.40409089962298733,0.3790008537931322,0.32259407259407258,0.3079804390802206,0.37691058264961891,-0.013275419316567838,0.07016931981432722,0.1377327486096947
XL-n1654-k11,36541.0,0.47016772064888646,0.42874811048509,0.37357505837110289,0.37908963546960417,0.11507164579851503,0.2672622902238019,0.2661617824607617,-0.30312042147652807
XL-n1701-k562,525433.0,0.881263643746772,0.8245448405022873,0.15076947709104493,0.13378283348992151,0.54152004485240235,0.025509281380699373,0.01897842760014517,0.39005218846695067
XL-n1748-k271,175343.0,0.9116074563044216,0.8321065464415512,0.52745337484162069,0.55916223160212886,0.46352000183345365,0.45097327043845675,0.4668586509228814,0.27794140354689834
XL-n1794-k163,141819.0,0.06703169540797607,0.06350147111741422,0.053618168092956969,0.04867724867724868,-0.030311147453158705,-0.006204707398682317,0.0,-0.12007930163850143
XL-n1841-k126,215217.0,0.5776213775989457,0.5508367673030022,0.36982800432787377,0.44806004004536609,0.099067924317687114,0.2866237437785993,0.35910987755010954,-0.14772515326948343
XL-n1888-k82,144146.0,0.4095905487677454,0.3641478036247676,0.26222621010092578,0.30757668540889604,-0.40901490969890425,0.17652127984877547,0.20214771520250108,-0.704217105249554
XL-n1934-k46,53133.0,0.2887882219705549,0.22635957218040859,0.21501725796412607,0.20367751060820369,0.10362108594898074,-0.15615574985765313,-0.11411125753613133,-0.04402103979953769
XL-n1981-k13,32805.0,0.7957967184907515,0.6906077348066298,0.62266118643028034,0.57638654689272462,0.42859329557630493,0.40523251899145296,0.1349173402358939,0.16121054463516732
XL-n2028-k617,550770.0,1.2136002616848536,1.1695380076891568,0.66639372427457033,0.65590727748222255,0.97423073538470562,0.5628576744430541,0.5705884028564565,0.8748826908467078
XL-n2074-k264,424098.0,0.6760830860534125,0.5860630367599798,0.45549831231124532,0.44621921584788754,-0.60327370907863653,0.39012910169939125,0.3800542637108444,-0.8404866391219704
XL-n2121-k186,284217.0,0.3927871284505749,0.355212191616851,0.2943013518806703,0.31200036705925538,-0.52081692655011291,0.2417367235257105,0.2507883431038497,-0.8974831488725838
XL-n2168-k138,127877.0,0.5243298482823677,0.4548382535467957,0.29568627450980395,0.32873574040075948,-0.04142890643320566,0.2017716728242941,0.2353878098430222,-0.2131873379830832
XL-n2214-k131,154793.0,0.09117243876574503,0.0756419871214668,0.062703625174535871,0.064644166187222435,-0.075527725776257187,0.01919059622017083,0.023003746509055994,-0.1472056725144765
XL-n2261-k54,99417.0,0.5980207637666202,0.5156359003912766,0.39991516950949796,0.41715486242980082,-0.42068571771988339,0.28355015690582913,0.33567342588743115,-0.7764858525874545
XL-n2307-k34,48088.0,0.3170894526034713,0.2710705200383669,0.087416226116638227,0.21673891297099032,0.17081198183560389,-0.284498560918352,-0.07771363978273729,-0.1886718044621223
XL-n2354-k631,949057.0,0.8954598706829648,0.8749767491297531,0.64444632972067273,0.67188346948149136,0.6499966063156466,0.5700037512795678,0.6042251236806426,0.4937557841324701
XL-n2401-k408,467610.0,0.9773604788764025,0.8926086309234842,0.72353102093479604,0.76824445905030758,0.095898210899002911,0.6214034965405114,0.662103960891588,-0.13382123482016928
XL-n2447-k290,220260.0,0.7441694529188183,0.7105429206331788,0.38877519860350856,0.48403505490444754,0.22797701118042948,0.2874396652167901,0.3764229791190062,-0.003404950798460962
XL-n2494-k194,363185.0,0.5893806241119823,0.5481651693636578,0.42055609626614759,0.41889014847789419,-0.25623561592670507,0.2483955315854898,0.25260172042998236,-0.49597898931848944
XL-n2541-k121,146563.0,0.14896306672588747,0.11817747113873898,0.087410796599173696,0.096297004548496809,-0.22804939481817316,0.0412962236139315,0.04348143643007963,-0.4206353897654713
XL-n2587-k66,73697.0,0.6047451333715566,0.412840286671935,0.30487389925550884,0.41284028667193501,0.002713888323495488,0.171126977848631,0.2201669678833566,-0.29479847770881673
XL-n2634-k17,32079.0,1.4548214681046205,1.3842798900161184,1.3650582993648688,1.3842798900161184,0.01558895055184885,1.04067580932703,0.967530750733364,-0.8116506655535457
XL-n2681-k540,804393.0,0.813003035445278,0.7250160592935413,0.55830094496122773,0.55817523577121941,-0.56614992094915406,0.5001562988433828,0.5118727871482631,-0.7148984491196455
XL-n2727-k546,431221.0,0.026211529361552095,0.020179340993751363,0.017163519634834524,0.016003636768471444,-0.051455232788572301,0.0036873404326672582,0.006354454240513608,-0.09202577648486826
XL-n2774-k286,410244.0,0.6444775365109895,0.5877203951481805,0.36304922203738133,0.38318676317296257,-0.26596132620861673,0.3184070891243907,0.33710335692135296,-0.42703531087365376
XL-n2821-k208,217622.0,0.4616336290866117,0.3962853439009425,0.11685252659085053,0.18414341088839989,-0.27632031160499482,0.0034924159430652665,0.10626014876420826,-0.4812179574828814
XL-n2867-k120,166574.0,0.39658622435449264,0.35182842339899995,0.267260579064588,0.29684310667686248,-0.86297195638718283,0.21670884126348816,0.21960302992016076,-1.2093952312155938
XL-n2914-k95,89420.0,0.5826640570515849,0.4832003595909653,0.36928533746394138,0.39971256624449836,-0.17081040045549439,0.2709176213074083,0.3030853686716034,-0.4281522640847619
XL-n2961-k55,108807.0,0.7985548195840474,0.6689241700899301,0.55077579913317498,0.56192755940443073,-0.94136069409419065,0.40306283461689923,0.46174343462882406,-1.392737969872347
XL-n3007-k658,523883.0,0.33650881204919886,0.299433870872015,0.2430096457608211,0.26161878296549773,-0.23917477087018865,0.20477708638891823,0.22247087877432364,-0.4967347472916905
XL-n3054-k461,789058.0,0.8775316609434488,0.8072933634327663,0.58472524796965086,0.59088017561953177,-0.25143891576606697,0.53181113792753,0.5483624373323341,-0.3580909912529868
XL-n3101-k311,247374.0,0.654280901345182,0.5842959782383293,0.40914736611383062,0.4507357957314102,0.074841518028714873,0.3028865452687662,0.3772047569350352,-0.19535363365021274
XL-n3147-k232,257674.0,0.4902171072900783,0.408376392103684,0.32549700589476638,0.31260827419210419,-0.43008342768377084,0.247902245904093,0.2651828360749827,-0.8296588111366836
XL-n3194-k161,149544.0,0.6379714124202536,0.5486525738260448,0.3691423815724123,0.40755487219428349,-0.17289373377035172,0.2563662497586471,0.3214036302308631,-0.3742693486860524
XL-n3241-k115,222394.0,0.5175164633512468,0.4625739711794733,0.34154947053064244,0.37007952196557359,-0.43114834099670035,0.2982872162235026,0.3226289568510889,-0.66024305842488
XL-n3287-k30,40331.0,0.35083354068176165,0.25354843520843173,0.23859823536721761,0.25105642555306984,-1.3598454276420378,0.1430224416115812,0.11244684838541447,-1.8531362170712418
XL-n3334-k934,1456530.0,0.2876022564762148,0.26378503997389685,0.21825317643691369,0.22880460774632622,-0.6258430254969799,0.1988595107465761,0.2062768909683942,-0.7085642672310103
XL-n3408-k524,684661.0,0.978873904168584,0.8867696270351274,0.68855067582969476,0.71328543773866893,-0.14191244891589391,0.6433781645965093,0.678423298140685,-0.3208201441739721
XL-n3484-k436,703672.0,0.05019059630125164,0.04506970164426214,0.038384878064037349,0.040518235338440997,-0.11058256713383897,0.030150972358193653,0.030861964285127122,-0.17460563357104647
XL-n3561-k229,210773.0,0.7562466836527384,0.6624129597967391,0.46521160931757843,0.5150386517432628,-0.28668883853173682,0.3789457241330428,0.44831038882002994,-0.6147772882276554
XL-n3640-k211,190460.0,0.49015728297745487,0.38793194324387004,0.24632616110152006,0.30704087382884709,-0.35888797045190585,0.1837877530237631,0.2220608509876972,-0.5594899222895886
XL-n3721-k77,163986.0,0.833794502859251,0.6901548550306394,0.46868969066480415,0.57960881005391285,-1.5471623349723529,0.31645201803157935,0.4560727511080209,-1.854450891614722
XL-n3804-k29,53010.0,0.32552329762670806,0.23636191736787368,0.058513750731421885,0.117096018735363,-0.31217090416729354,-0.08444099308639917,-0.03055093519806641,-0.5564038974535959
XL-n3888-k1010,1904066.0,1.4355509693311932,1.260285220765297,0.74433941199937781,0.53613895471384099,0.6393867975638079,0.5403486802186934,0.3787214819518781,0.2718198978316177
XL-n3975-k687,527704.0,0.4079458101834234,0.34284019235559543,0.27000682142497479,0.30488500285116898,-0.66542554292888889,0.2417408991940786,0.254976661494682,-0.9841652795735985
XL-n4063-k347,551284.0,0.5387266791895391,0.4286513241190605,0.27921833418523728,0.30384961081777395,-1.2991012282020984,0.25062474336512786,0.26674310416512403,-1.44310574247782
XL-n4153-k291,357635.0,0.5213896228006071,0.4496761545245679,0.33047464350538774,0.34314220621078978,-0.65473677192826507,0.2813266459487444,0.30914406753039597,-0.8382451861624141
XL-n4245-k203,229922.0,0.17471168215544547,0.1145176108926713,0.10405646042589134,0.095340504912865748,-0.77636467993837421,0.05909841409100649,0.0692452959115705,-1.0095286971706625
XL-n4340-k148,245182.0,0.52768609442588,0.39144071474781555,0.25474425394281136,0.27278490072183709,-1.8730339147209258,0.18743617792012926,0.2108587989917664,-2.13779945557161
XL-n4436-k48,61713.0,0.45905161888948576,0.38388340354929484,0.27785902310617139,0.31534972935190753,-1.0597364286401385,-0.053282890038045365,0.2011719606229048,-1.4180352615865273
XL-n4535-k1134,1203749.0,0.019692367005896078,0.015204816354067828,0.014540028282432156,0.011964057975830941,-0.10108160638424123,0.010725977528295532,0.007768003386350995,-0.12112424004869915
XL-n4635-k790,613960.0,0.69308911754962,0.5420453615000409,0.4234744533188522,0.45304986493583838,-1.2197103650443011,0.38303363884572156,0.41260165393928383,-1.3832938198312805
XL-n4738-k487,765055.0,0.7116444568478336,0.5988157806498611,0.43597896378525836,0.45760731121236392,-1.0179539229651595,0.39837573667752946,0.41664003301304875,-1.1833125725572364
XL-n4844-k321,407046.0,0.6470851496801664,0.5916194656148988,0.2450431103482075,0.35403466383964893,-0.94710150923010283,0.13823418923397576,0.2881912543304479,-1.1659641421106817
XL-n4951-k203,286379.0,0.5653705283931889,0.38910642235924686,0.31034035860774167,0.34759817370798252,-2.158880484321724,0.24864467125729503,0.2813967869781419,-2.3423193626687016
XL-n5061-k184,162395.0,0.5666336388407233,0.47392485259452205,0.319376320438849,0.36835827168276691,-0.76506138212127328,0.165982116367592,0.2179066031686902,-1.1238376822324225
XL-n5174-k55,62161.0,1.480719626473373,1.2691016910494934,1.1751493351128761,1.2592037531765166,-1.0773735637671473,0.9851416466031807,1.0927139932118075,-1.9002573972107653
XL-n5288-k1246,1983588.0,1.2962381364566018,1.1982545797384931,0.71694488054642169,0.76002247252652355,0.18192047822560362,0.642776158172683,0.7089115588545204,0.12828572533326105
XL-n5406-k783,1042944.0,0.26948269513460194,0.23141919164738173,0.17856370997565041,0.18847588142734456,-1.0636935484941996,0.16026502887997782,0.17105871030760794,-1.1766578671583778
XL-n5526-k553,337130.0,0.08520289867980038,0.06886357295086347,0.051638789634254917,0.062626328583428065,-0.56394193049828634,0.03225315432585764,0.04290987087273713,-0.667627393259619
XL-n5649-k401,647886.0,0.5156990328315972,0.46831434747684014,0.10707779595885616,0.26944416500940194,-1.5372317063347929,0.041135259031694425,0.19905694241050775,-1.6839733826254386
XL-n5774-k290,251765.0,0.7483142920026411,0.6226844173024736,0.4167996171027441,0.45686696991461179,-1.3289908918465567,0.3220074841536558,0.3886513952094685,-1.6956538206387435
XL-n5902-k122,219038.0,0.9335889259580116,0.7316725454938445,0.67472537574114078,0.70295941777121862,-2.2361279725773047,0.5929823078915565,0.6291677482042647,-2.717529613820069
XL-n6034-k61,65082.0,1.293365083811925,0.983738828202582,0.83510217994205416,0.98373882820258196,-1.9864158672309151,0.6367693311602607,0.7227423972761743,-2.563542098652135
XL-n6168-k1922,1542392.0,0.9821983907188079,0.8092757563676054,0.5673897593385886,0.63090371248014965,-0.60953016752252631,0.5278914856266599,0.5909094407119097,-0.691959915245202
XL-n6305-k1042,1186809.0,0.9189610221751323,0.788176586883709,0.53187974892632972,0.55044767824100749,-0.57419891543928225,0.47032249560699246,0.5073261053520248,-0.678998010331214
XL-n6445-k628,1001505.0,0.5409003159267436,0.48985423776091863,0.37041157175371237,0.40553004631764683,-0.93838526912181308,0.3439329996434079,0.3708843507689788,-1.037994105984763
XL-n6588-k473,335597.0,0.5317204977502981,0.4576912484883317,0.32615259517019124,0.33215142038829726,-1.7374703906819586,0.2750417193917111,0.2965289200872228,-1.9701660650747517
XL-n6734-k330,450200.0,0.6064994212109429,0.4841182864578567,0.34190243967673056,0.3783698213835805,-1.4159144757875559,0.31196531015269313,0.3427299329584883,-1.622077561661018
XL-n6884-k148,183840.0,1.241842663215574,1.1171064138739006,0.88958890126715651,0.95995430881093069,-2.0575167020063718,0.7449006936075915,0.8661186625363384,-2.536055933615945
XL-n7037-k38,71214.0,0.6416054267947994,0.5208553885242431,0.33673828812962309,0.37350773090529815,-2.4198410523431075,0.20430906389301223,0.2624331949833504,-3.750687601281818
XL-n7193-k1683,2982838.0,0.8327009115325003,0.8063254250875048,0.60015993022698155,0.65389780864260016,0.1618189810071729,0.5624690529417228,0.6223168806291691,0.14077879110589503
XL-n7353-k1471,1538192.0,0.03186573211194366,0.02477547631015775,0.01976736927526582,0.022824206143548,-0.25911237799801323,0.014011917607323648,0.015045899095198333,-0.28474939298301
XL-n7516-k859,577043.0,0.7083967440626614,0.5473059860394284,0.38498338639249863,0.39720926995615563,-1.4773875867344151,0.3542920784451136,0.35362887854394487,-1.59922594885723
XL-n7683-k602,705675.0,0.6452247803968046,0.5094730365276642,0.37779917754712178,0.40493491304428247,-1.1266386069529057,0.3425731778795376,0.37517207477155223,-1.2536901741212318
XL-n7854-k365,660865.0,0.27159276258392445,0.24938525926813618,0.12772301529342961,0.19269429376252664,-0.96715364016310046,0.1056701678998352,0.16806208111421259,-1.0792645679311967
XL-n8028-k294,268156.0,0.6988490208227718,0.47058823529411764,0.31198330103769983,0.41114664230242121,-1.8890014964199342,0.24781947646500913,0.33532914415112625,-2.084424961979373
XL-n8207-k108,119640.0,1.3468869123252858,1.1549452965148723,0.93562021749584501,1.0541252787350497,-1.939248889398882,0.783082189934501,0.965859463017583,-2.184177285046786
XL-n8389-k2028,3386197.0,0.9808830392702125,0.8177493225864173,0.51417758153686322,0.60355651208212291,-0.62666706969316088,0.48399845359791277,0.5824621421588337,-0.6837260746687693
XL-n8575-k1297,1092308.0,0.36127220739891364,0.2911479455752582,0.21394966494675113,0.2410797288380728,-1.4336814065381935,0.1967136122242214,0.2190986494421609,-1.5662148670423781
XL-n8766-k1032,911146.0,0.6724416060813647,0.5229444641805108,0.38384332493813778,0.4141557966382628,-0.97455421236304673,0.34190071069446576,0.37359211690119004,-1.0834028587852578
XL-n8960-k634,777282.0,0.5661749294222066,0.5041486559699399,0.38551098609448314,0.4176738165154919,-1.2257792326616921,0.3620503100152619,0.3987886249787874,-1.3068980876483156
XL-n9160-k379,327203.0,1.114661491489388,0.9599126174049344,0.48121215099067671,0.71193326972205973,-1.224121379710075,0.3725283644888267,0.6400983754093392,-1.5807988064675742
XL-n9363-k209,206239.0,0.42362771401720806,0.3229964733065791,0.27421903488513433,0.3229964733065791,-1.8610516297882465,0.21881667943866126,0.266662777328073,-2.119783299439265
XL-n9571-k55,108853.0,2.3593244564808544,1.9308743246153701,1.757452815196358,1.9308743246153701,-4.1373479757994209,1.4973831460244558,1.744042038713073,-5.032319529301329
XL-n9784-k2774,4083129.0,0.15190329208013076,0.120444792417863,0.071834749195994904,0.10512790275472861,-0.60743660729347482,0.05398774954448293,0.09514989970208984,-0.6463936558971818
